Address,Latitude,Longitude
Hanuman Mandir,18.06239665,74.99017443
KENDRIYA TERMINAL,28.619499,77.2060548
UPPER RIDGE ROAD,-16.3376264,29.3754208
SHANKER RD,28.6447471,77.1972623
W.P.NAGAR,16.5450817,80.6034484
LOHA MANDI,22.70692565,75.86851215
NARAINA VIHAR,28.6243852,77.1364438
MP DEPOT,38.8472478,-97.6087558
Tilak Nagar,28.6365482,77.0964961
ASHOK VIHAR CROSSING,28.7019197,77.1653293
ZAKHIRA,28.6655661,77.1738535
MOTI NAGAR,28.657859,77.1424288
S.P. DEPOT,40.6185083,-73.9910088
LOHA MANDI,22.70692565,75.86851215
ANAND VIHAR ISBT,28.6490523,77.3182836
H.P.DEPOT,12.05608075,15.03581487
MOTHER DAIRY,13.09600155,77.57316625
RAINY WELL,28.6279924,77.2609314
MANDI HOUSE,28.6256122,77.2341966
PUSA ROAD PETROL PUMP,25.8933512,85.6762392
TELEPHONE EXCHANGE,21.148814,79.1182431
W.P. NAGAR,16.5450817,80.6034484
ANAND VIHAR ISBT,28.6490523,77.3182836
H.P. DEPOT,12.05608075,15.03581487
BALCO APARTMENTS,28.6301549,77.30588346
MOTHER DAIRY,13.09600155,77.57316625
RAINY WELL,28.6279924,77.2609314
MANDI  HOUSE,28.6256122,77.2341966
TELEPHONE EXCHANGE,21.148814,79.1182431
WEST PATEL NAGAR.,28.6519279,77.162923
PUNJABI BAGH,28.6713863,77.1407175
WEST ENCLAVE.,23.0673738,-109.6509737
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
GULABI BAGH,31.5786745,74.3641646
SHASTRI NAGAR E-BLOCK,28.9553961,77.73641068
B-3 KESHAV PURAM,28.6873352,77.15796303
KRISHI BHAWAN,28.614871,77.212476
INA MARKET,28.57440755,77.21024148
SAROJINI NAGAR DEPOT,28.57426345,77.1890035
KENDRIYA TERMINAL,28.619499,77.2060548
RAM MANOHAR LOHIA HOSP.,28.6259241,77.20086459
REGAL,45.4068106,-94.8452502
ICE FACTORY,11.53621005,104.933794
MALKA GANJ,28.6775155,77.2077605
G.T.B.NAGAR.,10.1972151,76.3871006
MODEL TOWN-II,28.707334,77.1885231
ADARSH NAGAR.,28.7165805,77.1704223
KENDRIYA TERMINAL,28.619499,77.2060548
R.M.L.H,23.4755598,79.83865184
REGAL,45.4068106,-94.8452502
ICE FACTORY,11.53621005,104.933794
MALKA GANJ,28.6775155,77.2077605
G.T.B.NAGAR.,10.1972151,76.3871006
MODEL TOWN-II,28.707334,77.1885231
ADARSH NAGAR.,28.7165805,77.1704223
BADLI RAILWAY STATION,28.7446411,77.1382701
Old Delhi RAILWAY STATION,28.6609277,77.2276494
GTB NAGAR,28.6981333,77.2063998
MODEL TOWN -II,28.707334,77.1885231
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
DURGA MANDIR,23.6645817,87.692137
SHAHPUR GARHI,28.8196612,77.1064429
NARELA,22.15690385,79.51083533
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
DURGA MANDIR,23.6645817,87.692137
SHAHPUR GARHI,28.8196612,77.1064429
ISBT,30.11294325,78.29572465
GTB NAGAR,28.6981333,77.2063998
NIRANKARI COLONY,28.71657115,77.2064187
BURARI VILLAGE,12.5789347,13.3676251
IBRAHIM PUR,31.581404,74.47157307
HIRANKI,28.7995809,77.1811692
Old Delhi RAILWAY STATION,28.6609277,77.2276494
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
ESI HOSPITAL,17.4319714,78.5521205
ROHINI SEC-16,28.7162092,77.1170743
SHAHBAD DAIRY,28.7436709,77.1270451
BARWALA,30.6179342,76.97873825
BAWANA,28.79966,77.0328847
Old Delhi RAILWAY STATION,28.6609277,77.2276494
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
BADLI RAILWAY STATION,28.7446411,77.1382701
SHAHBAD DAIRY,28.7436709,77.1270451
BARWALA,30.6179342,76.97873825
BAWANA,28.79966,77.0328847
Old Delhi RAILWAY STATION,28.6609277,77.2276494
STA OFFICE,17.99259385,-76.92874715
MODEL TOWN -II,28.707334,77.1885231
ADARSH NAGAR.,28.7165805,77.1704223
ROHINI S-18,28.7162092,77.1170743
SHAHBAD DAIRY,28.7436709,77.1270451
BARWALA,30.6179342,76.97873825
NEHRU VIHAR,28.7107447,77.22117438
BR HOSP.,11.1460635,78.5950492
GULABI BAGH,31.5786745,74.3641646
E-BLK SHASTRI NAGAR,28.9553961,77.73641068
ZAKHIRA,28.6655661,77.1738535
MOTI NAGAR,28.657859,77.1424288
M.P. DEPOT,17.9828522,100.0420676
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
DURGA MANDIR,23.6645817,87.692137
SHAHPUR GARHI,28.8196612,77.1064429
BANKNER VILLAGE,27.9879156,77.8120851
Old Delhi RAILWAY STATION,28.6609277,77.2276494
GTB NAGAR,28.6981333,77.2063998
MODEL TOWN-II,28.707334,77.1885231
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
DURGA MANDIR,23.6645817,87.692137
SHAHPUR GARHI,28.8196612,77.1064429
NARELA,22.15690385,79.51083533
Old Delhi RAILWAY STATION,28.6609277,77.2276494
GTB NAGAR,28.6981333,77.2063998
MODEL TOWN -II,28.707334,77.1885231
ADARSH NAGAR,28.7165805,77.1704223
ESI HOSPITAL,17.4319714,78.5521205
ROHINI SEC-16,28.7162092,77.1170743
SHAHBAD DAIRY,28.7436709,77.1270451
BARWALA,30.6179342,76.97873825
BAWANA,28.79966,77.0328847
SANOTH VILLAGE,28.8144762,77.0735685
ESI HOSPITAL,17.4319714,78.5521205
ROHINI SEC-16,28.7162092,77.1170743
SHAHBAD DAIRY,28.7436709,77.1270451
BARWALA,30.6179342,76.97873825
BAWANA,28.79966,77.0328847
GHOGA VILLAGE,28.8309445,77.0489351
Old Delhi RAILWAY STATION,28.6609277,77.2276494
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
MAURICE NAGAR,28.6868992,77.20455103
GTB NAGAR,28.6981333,77.2063998
MODEL TOWN-II,28.707334,77.1885231
ASHOK VIHAR CROSSING,28.7019197,77.1653293
C-BLK SARASWATI VIHAR,28.70084435,77.13392269
KARALA,58.26233235,21.9066064
KANJHAWALA,28.7358173,77.0043151
PUNJAB KHOR,28.7755887,76.9630186
AZAD PUR,32.7682861,74.2168761
ASHOK VIHAR CROSSING,28.7019197,77.1653293
W.P. DEPOT,47.2627692,11.43154573
C-BLK SARASWATI VIHAR,28.70084435,77.13392269
KARALA,58.26233235,21.9066064
KANJHAWALA,28.7358173,77.0043151
PUNJAB KHOR,28.7755887,76.9630186
AUCHANDI BORDER,28.8020986,77.031699
ASHOK VIHAR CROSSING,28.7019197,77.1653293
WAZIR PUR DEPOT,28.7246928,77.1518297
SARASWATI VIHAR C-BLK.,28.70084435,77.13392269
KARALA,58.26233235,21.9066064
PUNJAB KHOR,28.7755887,76.9630186
AZAD PUR,32.7682861,74.2168761
ASHOK VIHAR CROSSING,28.7019197,77.1653293
W.P. DEPOT,47.2627692,11.43154573
C-BLK SARASWATI VIHAR,28.70084435,77.13392269
KARALA,58.26233235,21.9066064
KANJHAWALA,28.7358173,77.0043151
PUNJAB KHOR,28.7755887,76.9630186
BEGUM PUR,28.725503,77.0583706
KARALA,58.26233235,21.9066064
LADPUR VILLAGE,27.7295681,77.5523403
JAUNTI VILLAGE,28.7505336,76.9685976
PUNJAB KHOR,28.7755887,76.9630186
QUTABGARH,28.80271675,76.95569766
OLD DELHI RAILWAY STATION,28.6609277,77.2276494
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
Old Delhi Railway Station,28.6609277,77.2276494
Ice Factory,11.53621005,104.933794
Clock Tower,30.3243226,78.0418634
R.P. Bagh,-20.170037,57.50770558
Bara Bagh,22.5739543,88.34501521
Adrash NAGAR.,19.0150948,72.82152607
Rohini Sec-18,28.740748,77.1332332
Shahbad Dairy,28.7436709,77.1270451
Barwala,30.6179342,76.97873825
SHADIPUR DEPOT,28.6531934,77.1560276
PUNJABI BAGH,28.6713863,77.1407175
WAZIR PUR DEPOT,28.7246928,77.1518297
ASHOK VIHAR XING,28.7019197,77.1653293
ADARSH NAGAR,28.7165805,77.1704223
ROHINI SECTOR-18,28.73635755,77.13563584
SHAHBAD DAIRY,28.7436709,77.1270451
BARWALA,30.6179342,76.97873825
BAWANA,28.79966,77.0328847
MORI GATE,28.664203,77.2237393
RED FORT,28.65608095,77.24079592
DELHI GATE,28.6392174,77.2407795
ITO RING ROAD,35.1522655,136.8764242
RAINY WELL,28.6279924,77.2609314
MOTHER DAIRY,13.09600155,77.57316625
13-BLK TRILOK PURI,28.6126165,77.3061776
KALYAN PURI,28.6159271,77.317636
Old Delhi RAILWAY Station,28.6609277,77.2276494
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
ROHINI SEC-18,28.740748,77.1332332
SHAHBAD DAIRY,28.7436709,77.1270451
BARWALA,30.6179342,76.97873825
BAWANA,28.79966,77.0328847
MORI GATE TERMINAL,28.6661191,77.2216526
GTB NAGAR,28.6981333,77.2063998
MODEL TOWN-II,28.707334,77.1885231
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
KHAM PUR,51.513349,-0.117887
B-4 POCKET NARELA,28.750624,77.06397278
PALIKA KENDRA,28.62848015,77.21544954
DELHI GATE,28.6392174,77.2407795
RED FORT,28.65608095,77.24079592
ISBT,30.11294325,78.29572465
GTB NAGAR,28.6981333,77.2063998
MODEL TOWN-II,28.707334,77.1885231
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
KHAM PUR,51.513349,-0.117887
SINGHOLA,28.8435566,77.1234043
A-9 NARELA,23.74079145,75.76984849
MORI GATE TERMINAL,28.6661191,77.2216526
ICE FACTORY,11.53621005,104.933794
MAURICE NAGAR,28.6868992,77.20455103
GTB NAGAR,28.6981333,77.2063998
MODEL TOWN -II,28.707334,77.1885231
ADARSH NAGAR,28.7165805,77.1704223
ROHINI SEC-,28.750624,77.06397278
,46.3144754,11.0480288
SHAHBAD DAIRY,28.7436709,77.1270451
BARWALA,30.6179342,76.97873825
BAWANA,28.79966,77.0328847
Old Delhi RAILWAY Station,28.6609277,77.2276494
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
MAURICE NAGAR,28.6868992,77.20455103
GTB NAGAR,28.6981333,77.2063998
MODEL TOWN-II,28.707334,77.1885231
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
MUKHMELPUR.,28.7921344,77.1621577
Old Delhi RAILWAY Station,28.6609277,77.2276494
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
PALLA.,22.45966655,79.83684714
Old Delhi RAILWAY Station,28.6609277,77.2276494
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
SHALIMAR BAGH CROSSING,28.7030105,77.1685947
AE-SHALIMAR,24.4699033,54.3464521
BH-BLK SHALIMAR BAGH,28.7147354,77.1572729
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
KHERA KHURD.,28.7756713,77.09844241
OLD DELHI RAILWAY STATION,28.6609277,77.2276494
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
RANA PRATAP BAGH,28.6867059,77.1907813
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
ROHINI SEC-18,28.740748,77.1332332
SHAHBAD DAIRY,28.7436709,77.1270451
BARWALA,30.6179342,76.97873825
BAWANA,28.79966,77.0328847
GHOGA VILLAGE,28.8309445,77.0489351
Old Delhi RAILWAY Station,28.6609277,77.2276494
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
KHAM PUR,51.513349,-0.117887
SINGHOLA,28.8435566,77.1234043
DESU COLONY,28.61091735,77.09685456
A-9 NARELA,23.74079145,75.76984849
RAJA HARISH CHANDER HOSPITAL,28.840596,77.1032565
BAKNER,39.7990756,-77.5569537
ICE FACTORY,11.53621005,104.933794
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
ROHINI SEC-16,28.7162092,77.1170743
SHAHBAD DAIRY,28.7436709,77.1270451
BARWALA,30.6179342,76.97873825
BAWANA,28.79966,77.0328847
VISHAL BAGH,28.6409016,77.2118997
NARELA .,22.15690385,79.51083533
DELHI GATE,28.6392174,77.2407795
RAJ GHAT,28.6406036,77.2495084
GTB NAGAR,28.6981333,77.2063998
MODEL TOWN-II,28.707334,77.1885231
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
DURGA MANDIR,23.6645817,87.692137
SHAHPUR GARHI,28.8196612,77.1064429
NARELA.,23.18614405,77.56889176
Old Delhi RAILWAY Station,28.6609277,77.2276494
ICE FACTORY,28.4185068,77.31438608
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
KHAM PUR,51.513349,-0.117887
SINGHOLA,28.8435566,77.1234043
DESU COLONY,28.61091735,77.09685456
A-9 NARELA,23.2872689,77.14979839
RAJA HARISH CHANDER HOSPITAL,28.840596,77.1032565
VISHAL BAGH,28.6409016,77.2118997
GHOGA  VILLAGE,28.8309445,77.0489351
Old Delhi RAILWAY Station,28.6609277,77.2276494
ICE FACTORY,28.4185068,77.31438608
CLOCK TOWER,30.3243226,78.0418634
MAURICE NAGAR,28.6868992,77.20455103
GTB NAGAR,28.6981333,77.2063998
MODEL TOWN-II,28.707334,77.1885231
ADARSH NAGAR,28.7165805,77.1704223
KHERA KALA,25.1475669,74.1169131
KHERA KHURD,28.7756713,77.09844241
HOLAMBI KHURD,28.7973245,77.0952098
HOLAMBI KALAN,28.8070269,77.0967976
Old Delhi RAILWAY Station,28.6609277,77.2276494
ICE FACTORY,28.4185068,77.31438608
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
MORI GATE TERMINAL,28.6661191,77.2216526
GTB NAGAR,28.6981333,77.2063998
MODEL TOWN-II,28.707334,77.1885231
ADARSH NAGAR,28.7165805,77.1704223
ROHINI SEC-18-A,28.750624,77.06397278
ROHINI DEPOT-2,28.71575735,77.11212615
ROHINI SEC-16,28.7162092,77.1170743
SHAHBAD DAIRY.,28.7436709,77.1270451
Old Delhi RAILWAY Station,28.6609277,77.2276494
ICE FACTORY,28.4185068,77.31438608
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
KHAM PUR,51.513349,-0.117887
SINGHOLA,28.8435566,77.1234043
Old Delhi RAILWAY Station,28.6609277,77.2276494
ICE FACTORY,28.4185068,77.31438608
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
Old Delhi RAILWAY Station,28.6609277,77.2276494
ICE FACTORY,28.4185068,77.31438608
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
KHAMPUR,28.8243987,77.1335761
TIKRI KHURD.,26.4039021,78.74133916
Old Delhi RAILWAY Station,28.6609277,77.2276494
ICE FACTORY,28.4185068,77.31438608
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
TAJPUR KALAN,28.8387226,77.16911
MORI GATE TERMINAL,28.6661191,77.2216526
ICE FACTORY,28.4185068,77.31438608
CLOCK TOWER,30.3243226,78.0418634
RP BAGH,34.1461494,74.8250822
BARA BAGH,22.5739543,88.34501521
ADARSH NAGAR,28.7165805,77.1704223
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
BAKHTAWAR PUR,28.8234587,77.173144
PALIKA KENDRA,28.6287399,77.2164738
GULABI BAGH,31.5786745,74.3641646
INDER PURI,28.729945,77.1707212
LOHA MANDI,22.70692565,75.86851215
SP DEPOT,52.4090691,9.8017405
KARAM PURA,24.8832602,67.1750392
P.B.TERMINAL,22.4695648,-79.7327882
ASHOK VIHAR CROSSING,28.7019197,77.1653293
ADARSH NAGAR,28.7165805,77.1704223
JAHANGIR PURI E-BLK.,28.7428538,77.15907922
KENDRIYA TERMINAL,28.619499,77.2060548
RML HOSPITAL,41.8758684,-87.7124624
MANDIR MARG,26.9030733,75.8331558
TELEPHONE EXCHANGE PUSA ROAD,28.6431314,77.1815371
WEST PATEL NAGAR,28.6519279,77.162923
PUNJABI BAGH TERMINAL,28.66799,77.1372421
WAZIR PUR DEPOT,28.7246928,77.1518297
ASHOK VIHAR CROSSING,28.7019197,77.1653293
BH-BLK. SHALIMAR BAGH,28.7147354,77.1572729
HAIDER PUR.,32.4390924,74.5725925
MORI GATE TERMINAL,28.6661191,77.2216526
GTB NAGAR,28.6981333,77.2063998
NIRANKARI COLONY,28.71657115,77.2064187
BURARI VILLAGE,12.5789347,13.3676251
IBRAHIM PUR,31.581404,74.47157307
HIRANKI,28.7995809,77.1811692
MOHD. PUR,27.2090848,81.2730581
BAKHTAWAR PUR,28.8234587,77.173144
ANAND VIHAR ISBT,28.6490523,77.3182836
SURYA NAGAR,28.6685246,77.3307037
DILSHAD GARDEN,28.6806819,77.3220645
GTB HOSPITAL,28.6832783,77.30964685
NAND NAGRI DEPOT,28.69780895,77.30570108
C-4 YAMUNA VIHAR,28.7006347,77.28338903
BHAJAN PURA,26.722537,78.4308385
NANAK SAR,52.80886635,-2.104158481
BURARI CROSSING,28.7285944,77.1993251
BUDH PUR,28.7816996,77.1410657
ALIPUR,23.2825909,77.77736714
KHAM PUR,51.513349,-0.117887
ANAND VIHAR ISBT,28.6490523,77.3182836
SURYA NAGAR,28.6685246,77.3307037
DILSHAD GARDEN,28.6806819,77.3220645
GTB HOSPITAL,28.6832783,77.30964685
NAND NAGRI DEPOT,28.69780895,77.30570108
C-4 YAMUNA VIHAR,28.7006347,77.28338903
BHAJAN PURA,26.722537,78.4308385
NANAK SAR,52.80886635,-2.104158481
BURARI CROSSING,28.7285944,77.1993251
SHAHBAD DAIRY.,28.7436709,77.1270451
ANAND VIHAR ISBT,28.6490523,77.3182836
SURYA NAGAR,28.6685246,77.3307037
DILSHAD GARDEN,28.6806819,77.3220645
GTB HOSPITAL,28.6832783,77.30964685
NAND NAGRI DEPOT,28.69780895,77.30570108
C-4 YAMUNA VIHAR,28.7006347,77.28338903
BHAJAN PURA,26.722537,78.4308385
NANAK SAR,52.80886635,-2.104158481
BURARI CROSSING,28.7285944,77.1993251
ROHINI SEC-18,28.7413557,77.1323967
SHAHBAD DAIRY.,28.7436709,77.1270451
BHARTI NAGAR,28.5967192,77.2287497
SHAHJAHAN RD.,28.6037685,77.2244183
KRISHI BHAWAN,28.614871,77.212476
SARAI ROHILLA,28.6678728,77.1902673
GULABI BAGH,31.5786745,74.3641646
ASHOK VIHAR CROSSING,28.7019197,77.1653293
BH BLK SHALIMAR BAGH,28.7147354,77.1572729
MORI GATE TERMINAL,28.6661191,77.2216526
GTB NAGAR,28.6981333,77.2063998
MODEL TOWN-II,28.707334,77.1885231
ADARSH NAGAR,28.7165805,77.1704223
